[2026-02-04 11:36:28,134] | Line 17 | root | INFO | Initiate the data ingestion
[2026-02-04 11:36:59,070] | Line 61 | root | INFO | Performed train test split on dataframe
[2026-02-04 11:36:59,070] | Line 65 | root | INFO | Exporting train and test file path
[2026-02-04 11:36:59,127] | Line 72 | root | INFO | Exported train and test data as csv to ingested folder
[2026-02-04 11:36:59,131] | Line 20 | root | INFO | Data Initiation completed
[2026-02-04 11:36:59,131] | Line 25 | root | INFO | Initiate the data validation
[2026-02-04 11:36:59,261] | Line 31 | root | INFO | Required number ofcolumns :2
[2026-02-04 11:36:59,261] | Line 32 | root | INFO | Data frame has columns : len(dataframe.columns)
[2026-02-04 11:36:59,288] | Line 31 | root | INFO | Required number ofcolumns :2
[2026-02-04 11:36:59,288] | Line 32 | root | INFO | Data frame has columns : len(dataframe.columns)
[2026-02-04 11:36:59,476] | Line 28 | root | INFO | data validation completed
[2026-02-04 11:36:59,476] | Line 32 | root | INFO | Initiate the data transformation
[2026-02-04 11:36:59,476] | Line 41 | root | INFO | Entered initiate_data_transformation method of DataTransformation class
[2026-02-04 11:36:59,476] | Line 43 | root | INFO | Starting data transformation
[2026-02-04 11:36:59,513] | Line 32 | root | INFO | Entered get_data_transformer_object method of transformation class
[2026-02-04 11:36:59,543] | Line 43 | root | INFO | Entered the save_object method of MainUtils class
[2026-02-04 11:36:59,546] | Line 47 | root | INFO | Exited the save_object method of MainUtils class
[2026-02-04 11:36:59,546] | Line 35 | root | INFO | data validation completed
[2026-02-04 11:36:59,546] | Line 37 | root | INFO | Model training started
[2026-02-04 11:40:08,257] | Line 43 | root | INFO | Entered the save_object method of MainUtils class
[2026-02-04 11:40:08,297] | Line 47 | root | INFO | Exited the save_object method of MainUtils class
[2026-02-04 11:40:08,297] | Line 110 | root | INFO | Model trainer artifact : ModelTrainerArtifact(trained_model_file_path='artifacts\\02_04_2026_11_36_26\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9906051116274371, precision_score=0.9867176494264439, recall_score=0.9945233265720081), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9906051116274371, precision_score=0.9867176494264439, recall_score=0.9945233265720081))
[2026-02-04 11:40:08,297] | Line 41 | root | INFO | model trainer artifact completed
